Entry,Sample1,Sample2,Base,Solvent,Product
1,OCC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(C/C=C/C2=CC=CC=C2)=CC=CC=C1
2,OC(C)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2
3,CC(O)(C)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)(C)C2=CC=CC=C2
4,OC(CC)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CCC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2
5,OC(C1=CC=CC=C1)C2=CC=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(C(C2=CC=CC=C2)/C=C/C3=CC=CC=C3)=CC=CC=C1
6,OC(C1=CC=CO1)C2=CC=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(C(C2=CC=CO2)/C=C/C3=CC=CC=C3)=CC=CC=C1
7,OC(C#N)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,N#CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2
8,OC(C(OCC)=O)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2)OCC
9,OC(C(NCC1=CC=CC=C1)=O)C2=CC=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2)NCC3=CC=CC=C3
10,OC(C(F)(F)F)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,FC(C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2)(F)F
