X56,X59,X67,X83,X96,X98,X132,X133,X136,X145,X147,X148,X149,X152,X157,X160,X171,X176,X177,X178,X195,X197,X201,X202,X204,X208,X213,X218,X228,X234,X239,X242,X245
0.47 ,0.81 ,-2.29 ,1.95 ,-0.94 ,-1.65 ,0.54 ,-0.82 ,-0.15 ,0.08 ,-0.86 ,0.52 ,-0.99 ,1.82 ,0.61 ,-1.67 ,-1.32 ,2.22 ,0.76 ,-1.49 ,0.20 ,0.88 ,-1.78 ,1.86 ,-2.10 ,1.94 ,1.61 ,-1.75 ,1.19 ,1.88 ,1.52 ,-0.33 ,1.26 
0.42 ,0.91 ,-2.39 ,1.78 ,-0.86 ,-1.82 ,0.67 ,-0.88 ,-0.07 ,-0.02 ,-0.93 ,0.33 ,-0.74 ,1.73 ,0.76 ,-1.57 ,-1.32 ,1.81 ,-0.05 ,-1.01 ,-0.05 ,0.79 ,-1.77 ,1.27 ,-1.35 ,1.50 ,1.36 ,-2.93 ,0.46 ,1.57 ,2.23 ,-0.93 ,1.13 
0.30 ,0.80 ,-2.34 ,2.03 ,-0.96 ,-1.67 ,0.58 ,-0.76 ,-0.22 ,0.03 ,-0.80 ,0.54 ,-0.96 ,1.76 ,0.64 ,-1.66 ,-1.25 ,1.80 ,0.66 ,-1.08 ,0.22 ,0.78 ,-1.88 ,1.40 ,-2.04 ,2.26 ,1.49 ,-2.24 ,1.06 ,2.09 ,1.70 ,-0.47 ,1.64 
0.54 ,0.93 ,-2.22 ,2.00 ,-0.92 ,-1.67 ,0.29 ,-0.85 ,-0.03 ,0.19 ,-0.81 ,0.36 ,-0.87 ,1.80 ,0.58 ,-1.64 ,-1.20 ,1.74 ,0.27 ,-0.86 ,-0.02 ,-0.11 ,-1.91 ,2.00 ,-2.43 ,1.93 ,2.25 ,-1.35 ,0.52 ,1.46 ,1.98 ,-0.91 ,1.10 
0.46 ,0.82 ,-2.31 ,1.65 ,-0.92 ,-1.74 ,0.66 ,-0.70 ,0.04 ,0.21 ,-0.86 ,0.13 ,-0.55 ,1.73 ,0.67 ,-1.43 ,-1.24 ,1.79 ,0.25 ,-1.06 ,0.00 ,0.15 ,-1.63 ,2.02 ,-2.20 ,2.03 ,2.27 ,-1.31 ,0.56 ,1.52 ,2.10 ,-0.83 ,1.27 
0.67 ,0.15 ,-1.92 ,1.78 ,-0.74 ,-1.68 ,0.48 ,-1.18 ,0.01 ,1.08 ,-0.46 ,-0.50 ,-0.65 ,1.84 ,0.26 ,-1.35 ,-1.49 ,1.88 ,0.57 ,-1.25 ,0.30 ,1.34 ,-0.06 ,1.79 ,-2.14 ,3.01 ,2.34 ,-1.25 ,2.20 ,2.37 ,1.62 ,0.04 ,2.08 
0.59 ,0.24 ,-2.03 ,1.75 ,-0.76 ,-1.67 ,0.50 ,-1.17 ,-0.07 ,1.11 ,-0.62 ,-0.49 ,-0.56 ,1.85 ,0.36 ,-1.40 ,-1.57 ,1.30 ,-0.22 ,-2.27 ,-0.48 ,0.58 ,-1.08 ,1.98 ,-1.45 ,2.12 ,1.61 ,-1.18 ,1.91 ,2.12 ,1.61 ,-0.61 ,1.42 
0.36 ,0.62 ,-2.43 ,2.14 ,-0.87 ,-1.59 ,0.15 ,-1.61 ,0.28 ,0.14 ,-0.86 ,-0.21 ,-1.01 ,1.90 ,0.16 ,-1.25 ,-1.17 ,1.62 ,-0.11 ,-1.93 ,-0.16 ,0.09 ,-2.41 ,1.41 ,-1.46 ,2.39 ,1.69 ,-1.61 ,1.20 ,1.98 ,1.74 ,-1.16 ,1.11 
0.47 ,0.85 ,-2.29 ,1.63 ,-0.92 ,-1.76 ,0.73 ,-0.69 ,0.00 ,0.12 ,-0.92 ,0.21 ,-0.58 ,1.65 ,0.65 ,-1.37 ,-1.27 ,1.41 ,1.09 ,-1.53 ,0.43 ,0.14 ,-1.81 ,1.42 ,-2.37 ,1.93 ,1.65 ,-2.04 ,1.20 ,2.26 ,1.34 ,-0.38 ,1.18 
0.08 ,0.22 ,-2.71 ,1.36 ,-1.01 ,-2.24 ,0.91 ,-0.64 ,0.59 ,0.60 ,-1.14 ,0.69 ,-0.43 ,1.89 ,0.76 ,-1.13 ,-0.49 ,1.55 ,1.34 ,-1.57 ,0.30 ,0.83 ,-0.04 ,1.88 ,-2.66 ,2.39 ,2.15 ,-1.29 ,2.82 ,1.94 ,1.23 ,0.14 ,1.43 
